cell_type	rank	tf_symbol	differential	mean_signal_here	mean_signal_neighbors	neighbors
Eye	9	HMX1	-0.0110	0.0329	0.0439	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Eye	10	MAFA	-0.0115	0.0319	0.0433	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Glia	1	SOX10	0.0226	0.0576	0.0350	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	2	PA2G4	0.0147	0.0416	0.0269	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	3	DNMT1	0.0119	0.0369	0.0250	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	4	ZBTB7A	0.0118	0.0353	0.0236	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	5	ZNF469	0.0109	0.0385	0.0276	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	6	RXRG	0.0105	0.0378	0.0272	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	7	RARG	0.0098	0.0346	0.0248	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	8	SP7	0.0097	0.0352	0.0255	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	9	ZNF705B	0.0095	0.0396	0.0300	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glia	10	USF2	0.0093	0.0341	0.0249	Melanocyte_cells,Olfactory_ensheathing_cells,Oligodendrocytes,Intermediate_neuronal_progenitors,Eye
Glomerular_endothelial_cells	1	BCL6B	-0.0034	0.0317	0.0351	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	2	SNAI2	-0.0044	0.0226	0.0270	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	3	ZNF792	-0.0045	0.0309	0.0354	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	4	SOX13	-0.0045	0.0212	0.0257	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	5	RARG	-0.0046	0.0210	0.0256	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	6	CTCF	-0.0047	0.0237	0.0285	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	7	RARA	-0.0048	0.0249	0.0297	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	8	ZBTB46	-0.0049	0.0276	0.0325	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	9	ZNF598	-0.0052	0.0221	0.0273	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Glomerular_endothelial_cells	10	MBNL2	-0.0053	0.0215	0.0268	Liver_sinusoidal_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium,Endocardial_cells,Lymphatic_vessel_endothelial_cells
Gut_epithelial_cells	1	KLF5	0.0273	0.0627	0.0354	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Gut_epithelial_cells	2	NR5A2	0.0261	0.0616	0.0355	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Gut_epithelial_cells	3	ZNF729	0.0189	0.0597	0.0408	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Gut_epithelial_cells	4	HNF1A	0.0179	0.0579	0.0400	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Gut_epithelial_cells	5	MYRF	0.0142	0.0512	0.0370	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Gut_epithelial_cells	6	HNF4G	0.0132	0.0476	0.0344	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Gut_epithelial_cells	7	MYPOP	0.0130	0.0502	0.0372	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Gut_epithelial_cells	8	ATOH1	0.0129	0.0453	0.0325	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
